,ci_rsfes,ci_rsfl,ci_rsfls,ci_coxlasso,ci_coxridge,,ibs_rsfes,ibs_rsfl,ibs_rsfls,ibs_coxlasso,ibs_coxridge
1,0.668448971,0.592700998,0.667741297,0.708120282,NA,,0.136435506,0.234213768,0.142703761,0.124022535,NA
2,0.632438964,0.564639488,0.63207327,0.705634501,NA,,0.100788928,0.255750278,0.143145167,0.095572445,NA
3,0.609013081,0.548113143,0.672981303,0.711438213,0.541045134,,0.121370542,0.281398591,0.157327057,0.095732868,0.108606067
4,0.657693233,0.583953692,0.643380792,0.703135234,0.557006991,,0.100776125,0.219634151,0.136867086,0.101455261,0.11090881
5,0.664696999,0.586285262,0.651560026,0.712668353,0.536273532,,0.099924889,0.237270724,0.134121238,0.091508935,0.1020978
6,0.633717541,0.555615908,0.670596964,0.692020761,NA,,0.119639996,0.274407142,0.157022971,0.112194052,NA
7,0.639369284,0.574245601,0.649287401,0.682884656,0.507762945,,0.105482537,0.269876742,0.14415398,0.104264043,0.109943723
8,0.62476865,0.565374526,0.67908773,0.716045778,NA,,0.130079338,0.231293448,0.137945213,0.119159346,NA
9,0.590930335,0.575375607,0.671088262,0.71668095,0.533739295,,0.117675865,0.266956287,0.143087375,0.100276609,0.115141278
10,0.587806289,0.55199605,0.631499506,0.687101888,0.536775286,,0.10450639,0.236073359,0.146009996,0.100075726,0.108356717
11,0.64464599,0.586323916,0.674372897,0.7071122,0.596985379,,0.137244479,0.23704255,0.141872589,0.124395125,0.13777372
12,0.62832466,0.561508781,0.634819504,0.706202948,0.56454337,,0.100568648,0.25396286,0.144800199,0.095868306,0.10912814
13,0.624160172,0.564872048,0.637328675,0.708465403,0.530278599,,0.09779822,0.233251878,0.131141743,0.103838975,0.111191446
14,0.642464146,0.564081505,0.694186971,0.710860884,NA,,0.131501581,0.257830124,0.159403976,0.110461628,NA
15,0.61320859,0.584304133,0.630916352,0.698203143,0.524384008,,0.107638339,0.243941493,0.148786439,0.093618956,0.100058529
16,0.651333146,0.568844799,0.703082687,0.712567183,0.568002919,,0.110403373,0.253744102,0.139294022,0.105505932,0.121081038
17,0.61694035,0.550698072,0.630770171,0.693597235,0.548345706,,0.107642282,0.251649626,0.145368934,0.092351939,0.094630804
18,0.642420366,0.571516291,0.6791777,0.711818555,0.533637794,,0.113000727,0.249945734,0.137371643,0.11402841,0.1264076
19,0.607227464,0.574843087,0.644660948,0.671478388,NA,,0.114096877,0.277454918,0.143951206,0.112741,NA
20,0.604016134,0.561214126,0.683729433,0.72156076,0.53435768,,0.102486498,0.231763888,0.138857664,0.091889939,0.099209161
21,0.624896995,0.546041249,0.67077692,0.709569543,NA,,0.105299671,0.251660412,0.147388726,0.088967511,NA
22,0.642912624,0.575534184,0.649183013,0.70887372,0.497592114,,0.111664732,0.242776914,0.132240085,0.108737607,0.119927019
23,0.590301113,0.535802534,0.659323563,0.740310708,0.560276641,,0.113267991,0.251308438,0.140505069,0.107865942,0.119115925
24,0.637416282,0.596824121,0.64790011,0.701631424,0.498690359,,0.104340121,0.238699488,0.144079329,0.090558934,0.101632593
25,0.634111538,0.585874634,0.650367036,0.716015516,0.507053856,,0.100868695,0.244067334,0.124240504,0.100347503,0.114623316
26,0.589297474,0.548500533,0.693429215,0.689712719,0.518445349,,0.131731803,0.238635142,0.156210115,0.116735878,0.127150538
27,0.601071424,0.550683065,0.660117621,0.683678831,NA,,0.127462506,0.306884087,0.172452852,0.108045617,NA
28,0.643387595,0.60225163,0.659968216,0.717719147,0.494705105,,0.09756272,0.201083978,0.127809057,0.094563562,0.109213351
29,0.565968378,0.551966935,0.663133811,0.71680958,0.515373828,,0.120127911,0.270827006,0.146048498,0.102268114,0.115290761
30,0.642357129,0.580679601,0.648336585,0.694945346,0.515711499,,0.098234519,0.232612169,0.137868631,0.092828027,0.104095919
31,0.665149924,0.564147064,0.698405985,0.721696598,0.562149076,,0.117506251,0.22503661,0.135801553,0.110383346,0.128176517
32,0.599976039,0.550157074,0.631955167,0.672265995,0.523454555,,0.107922021,0.284306403,0.15348864,0.103300549,0.105020496
33,0.665010773,0.575652382,0.675739167,0.703206585,0.50724204,,0.112367695,0.262360056,0.136927907,0.108699276,0.121236161
34,0.66825273,0.556251788,0.658420218,0.701113922,NA,,0.107420299,0.222203592,0.145712463,0.092169309,NA
35,0.662471283,0.555469454,0.659180568,0.73915808,0.538463706,,0.113036673,0.273355545,0.145057665,0.098712168,0.112843065
36,0.634832852,0.585409473,0.660783316,0.705544828,0.554896755,,0.104309734,0.229609697,0.143551321,0.097356214,0.10549034
37,0.622369741,0.578851889,0.642551846,0.709535621,NA,,0.107949033,0.245036126,0.146456625,0.090551832,NA
38,0.620152525,0.562761654,0.686071917,0.701320528,0.52605613,,0.111392362,0.255486315,0.135634876,0.107388913,0.119556739
39,0.682553191,0.572382979,0.65551773,0.702348312,0.523375887,,0.102392407,0.285718101,0.143398051,0.090131472,0.097119367
40,0.631580387,0.544199273,0.652817652,0.72006938,NA,,0.144016316,0.23930081,0.143726822,0.125749124,NA
41,0.653651965,0.560966358,0.653416523,0.696204864,0.537801496,,0.114671436,0.259568311,0.141955008,0.104894167,0.121060132
42,0.656099201,0.575684236,0.669624716,0.720957708,NA,,0.108553287,0.226916202,0.137217793,0.09236122,NA
43,0.638640254,0.558180645,0.668719661,0.689060876,0.561154915,,0.125106058,0.232217216,0.14731663,0.12521951,0.129333301
44,0.658807768,0.564339479,0.649029763,0.722936443,0.525046613,,0.101903301,0.271106249,0.136705131,0.09378961,0.107361974
45,0.638787062,0.560564405,0.681396728,0.727719166,NA,,0.117111289,0.287992715,0.157660046,0.099114962,NA
46,0.650894478,0.554315262,0.639554647,0.681271839,0.518782048,,0.102032662,0.222283278,0.134791203,0.096869565,0.107177246
47,0.625181119,0.558742808,0.670809011,0.697060261,NA,,0.114845479,0.281954135,0.153466684,0.086379653,NA
48,0.635759841,0.583223332,0.651071989,0.70371786,0.531840098,,0.140182549,0.236761732,0.140051634,0.131929638,0.147535227
49,0.643227443,0.557320318,0.675021715,0.695169867,0.563772732,,0.105543276,0.220462579,0.138000103,0.096706441,0.106630668
50,0.697804133,0.576263786,0.656478443,0.734159209,0.530459033,,0.112278571,0.280383626,0.147204489,0.102133577,0.112760031
51,0.665175242,0.58391925,0.654335784,0.694669316,0.52123948,,0.123143382,0.257728274,0.142687323,0.106488211,0.122873949
52,0.615330705,0.564122405,0.665430549,0.720278799,0.557859083,,0.100085015,0.252815608,0.139383136,0.09042279,0.099410893
53,0.620425913,0.550461409,0.682144855,0.759355872,NA,,0.110701172,0.265028245,0.14136138,0.103551518,NA
54,0.64923,0.592207395,0.636974603,0.693172021,0.545773914,,0.112161797,0.211023322,0.14212876,0.103026803,0.107742498
55,0.639157435,0.564256473,0.677154791,0.716373156,0.511700597,,0.125523087,0.243547418,0.141720373,0.115439456,0.131791959
56,0.650984514,0.57343461,0.648522899,0.695490149,0.54010875,,0.102585382,0.264713195,0.148535384,0.100797339,0.101807509
57,0.619589526,0.548686091,0.653798803,0.714002268,0.502511781,,0.106939853,0.25488356,0.149744046,0.082331748,0.095520749
58,0.61395202,0.565510333,0.655871779,0.686564898,0.519279853,,0.111334938,0.243780598,0.135530012,0.122155029,0.124409692
59,0.6020417,0.555914926,0.666199807,0.714839288,NA,,0.103962404,0.258506226,0.134539558,0.097335126,NA
60,0.596147655,0.575188121,0.654634958,0.691056801,0.47254973,,0.123780073,0.249906337,0.148525245,0.111360778,0.126754813
61,0.644483816,0.577717206,0.645887564,0.731571675,0.509669506,,0.105078643,0.240982687,0.138106462,0.093538317,0.102817955
62,0.603572905,0.532784899,0.658749055,0.674116254,0.52042373,,0.113077692,0.256467833,0.145108028,0.118627754,0.117412016
63,0.61589911,0.558805754,0.676712734,0.699963568,0.561827632,,0.104517135,0.25670182,0.143846117,0.10289385,0.109588993
64,0.66706689,0.583124792,0.645904153,0.701952887,NA,,0.118774068,0.241652511,0.138626755,0.106596449,NA
65,0.610478597,0.561433447,0.644973035,0.687596393,0.515254149,,0.108681394,0.250541372,0.154218366,0.099921237,0.10457767
66,0.640377139,0.57386059,0.672803098,0.693476077,0.543625261,,0.110636299,0.250892312,0.133327622,0.100700115,0.117298205
67,0.641189656,0.562624716,0.62844764,0.702037503,0.523357844,,0.128592169,0.243434616,0.141997161,0.1143297,0.127984458
68,0.647244876,0.574820236,0.68362904,0.71598443,NA,,0.106012979,0.258599045,0.138180128,0.098025804,NA
69,0.640468629,0.54301269,0.649613706,0.717807669,0.517700119,,0.102048941,0.227989502,0.144080896,0.089309236,0.103859804
70,0.665682152,0.587607117,0.663509522,0.698218882,0.553242256,,0.115863077,0.274945178,0.148317331,0.10608338,0.115194388
71,0.665556546,0.599690687,0.634356016,0.680124527,0.533648219,,0.102704235,0.219366915,0.137060683,0.096378957,0.101259902
72,0.62621366,0.547417396,0.689056667,0.710788364,0.573953864,,0.113458026,0.2596095,0.148513547,0.101370843,0.118359598
73,0.629727647,0.610897035,0.649677917,0.700260807,0.48822905,,0.104875098,0.21609291,0.136119867,0.095864662,0.104308394
74,0.599983965,0.52525455,0.670274459,0.697146224,0.535089126,,0.114331972,0.283619898,0.149805303,0.109100795,0.11964882
75,0.609439755,0.543026298,0.664739089,0.697976718,NA,,0.104696688,0.243294732,0.142199463,0.095589615,NA
76,0.691704336,0.582118767,0.658893442,0.720615619,0.500978694,,0.111137675,0.244840181,0.137295138,0.096383133,0.11087565
77,0.681188972,0.592647904,0.665996554,0.697536903,0.465565767,,0.112023763,0.248076081,0.133840263,0.109309521,0.121154284
78,0.589229145,0.533185332,0.648640234,0.676794794,0.515425121,,0.106421207,0.257316157,0.152350619,0.099022216,0.10059556
79,0.640038801,0.537199749,0.684829121,0.723819727,NA,,0.102626753,0.275186344,0.150364854,0.094197738,NA
80,0.635339113,0.592478665,0.639395135,0.672702975,0.513372623,,0.121817997,0.223906783,0.13687601,0.122352191,0.12711067
81,0.65297864,0.585188002,0.657523458,0.683288007,0.477628559,,0.10204868,0.252963897,0.14669796,0.113164747,0.106928179
82,0.61867782,0.531262491,0.666547707,0.718142999,0.531390967,,0.122886779,0.248600119,0.139240912,0.108645865,0.126244831
83,0.649592127,0.566340083,0.638449815,0.709945635,0.569083388,,0.103329781,0.226885308,0.138308665,0.100759546,0.111506963
84,0.681158258,0.57565873,0.675922089,0.695910193,0.530526851,,0.117176564,0.280294189,0.152326,0.098304251,0.109475465
85,0.621516977,0.538455481,0.663704851,0.71479292,0.545910332,,0.112862551,0.276230612,0.152057718,0.108164054,0.115623325
86,0.670875371,0.598388748,0.670004896,0.716288464,0.503048916,,0.104881809,0.215103126,0.132650462,0.09670593,0.10408897
87,0.68697606,0.579402412,0.661064831,0.725918583,0.485401939,,0.128286181,0.244993219,0.149528615,0.112249694,0.127966238
88,0.576715509,0.540756731,0.641920364,0.700998104,NA,,0.102691967,0.251512889,0.133171924,0.102398728,NA
89,0.671679032,0.579355284,0.663388674,0.697417859,0.490146116,,0.10608127,0.284543297,0.156240924,0.098333629,0.099534606
90,0.629142364,0.536172141,0.661725796,0.693625217,NA,,0.137908784,0.221362053,0.137142626,0.133463994,NA
91,0.652227034,0.574878506,0.639874569,0.694508134,0.490565525,,0.119222734,0.295578946,0.151306046,0.099591258,0.106900658
92,0.607072071,0.561959613,0.679358286,0.715146807,0.521084078,,0.103943855,0.215112324,0.136045813,0.102615748,0.113371301
93,0.666891966,0.595260428,0.654146436,0.722647043,0.516911278,,0.123936539,0.284989598,0.153982826,0.101309012,0.108576117
94,0.598702085,0.544575362,0.649985219,0.704682194,0.531314667,,0.100049946,0.222904566,0.135923259,0.100610599,0.11241545
95,0.661272589,0.566468855,0.674541533,0.699423924,0.530186206,,0.1143433,0.247638397,0.133787767,0.108907195,0.115756036
96,0.623828427,0.559122297,0.644714898,0.710184505,0.550039282,,0.105556765,0.263269657,0.150405837,0.087253963,0.10006674
97,0.623263406,0.548478522,0.633883722,0.68613889,NA,,0.114672645,0.280793395,0.158765829,0.102971977,NA
98,0.637484129,0.593375966,0.694981652,0.719547492,0.509452952,,0.113561468,0.219846661,0.126833985,0.108294603,0.124804124
99,0.648043615,0.578150065,0.643822894,0.691237931,NA,,0.128832244,0.233283418,0.14551928,0.119491533,NA
100,0.663893675,0.567286867,0.671851414,0.71164082,0.529287261,,0.099503898,0.25381656,0.139461841,0.099440382,0.10937104
1,0.626586742,0.518335684,0.639633286,NA,0.654795487,,0.159492434,0.175826486,0.168966553,NA,0.166535235
2,0.55942029,0.563405797,0.555797101,0.491666667,0.571376812,,0.148994836,0.182028549,0.162360927,0.196758984,0.180803715
3,0.614173228,0.588839439,0.576172544,0.547757617,0.613488531,,0.151846941,0.165247525,0.167557266,0.186345316,0.166752933
4,0.610486891,0.530337079,0.599625468,NA,0.595505618,,0.153448015,0.173815554,0.163231048,NA,0.175588364
5,0.602380952,0.55952381,0.622619048,0.570634921,0.63968254,,0.148494124,0.166386359,0.155168,0.16408249,0.157512097
6,0.668625531,0.599085864,0.586679726,NA,0.702252693,,0.160562919,0.165750072,0.174681519,NA,0.163031697
7,0.62698987,0.586107091,0.598408104,0.539797395,0.619030391,,0.151536287,0.1626918,0.156288934,0.173554038,0.164133497
8,0.60456942,0.573286467,0.582073814,0.533567663,0.608084359,,0.149854343,0.174247293,0.174670196,0.177919931,0.171973207
9,0.597669903,0.579805825,0.577864078,0.553009709,0.603106796,,0.152009335,0.168021954,0.162055466,0.17689517,0.171887349
10,0.59509609,0.531146455,0.611000663,0.492710404,0.626905235,,0.15477238,0.171356418,0.164590485,0.19331566,0.166833613
11,0.579689704,0.531734838,0.654442877,NA,0.650916784,,0.161818541,0.174387886,0.168628416,NA,0.167119013
12,0.550362319,0.562681159,0.562681159,0.492753623,0.57826087,,0.151332984,0.184921848,0.16261804,0.198955823,0.184283246
13,0.657367668,0.595493562,0.632689557,0.494277539,0.660586552,,0.147408129,0.168176383,0.16543225,0.177211436,0.164687629
14,0.651245552,0.569039146,0.598576512,NA,0.678647687,,0.153878025,0.169315247,0.168391927,NA,0.161561355
15,0.631557869,0.555066079,0.607929515,NA,0.651181418,,0.143216288,0.173804459,0.157722227,NA,0.154964845
16,0.68845034,0.590100291,0.574571336,NA,0.659010029,,0.155834773,0.168923708,0.179009011,NA,0.166492293
17,0.647220047,0.552075176,0.580657792,NA,0.662881754,,0.132852126,0.164604815,0.147701322,NA,0.153774425
18,0.64883492,0.604200853,0.652445028,0.568427962,0.661306203,,0.172973417,0.18116786,0.19042568,0.181664212,0.170606875
19,0.630733945,0.588302752,0.654051988,0.487003058,0.664373089,,0.139834341,0.165163438,0.15596173,0.184182338,0.158352134
20,0.584141853,0.566410171,0.579458013,0.591502175,0.62596186,,0.165798167,0.169684184,0.170319757,0.175793692,0.172347297
21,0.637843337,0.603255341,0.559172601,NA,0.626992201,,0.165069199,0.18631599,0.198069533,NA,0.17539369
22,0.603766478,0.552919021,0.55480226,NA,0.604519774,,0.145177857,0.166216357,0.149771107,NA,0.161437639
23,0.66331484,0.5759362,0.595353675,NA,0.691054092,,0.148990838,0.171760522,0.172645944,NA,0.16179796
24,0.646193453,0.611989702,0.606105186,0.506803972,0.669363737,,0.151804127,0.162404738,0.157330706,0.179842888,0.161225738
