,ci_rsfse,ci_rsf,ci_cox,ci_gbm,ci_rotsf,,ibs_rsfse,ibs_rsf,ibs_cox,ibs_gbm,ibs_rotsf
1,0.641743725,0.626420079,0.57675033,0.606869221,0.646499339,,0.00923626,0.014074421,0.010265969,0.00921801,0.009833994
2,0.609782317,0.624294544,0.529427573,0.54168908,0.604407417,,0.012352488,0.01964277,0.011454718,0.009503734,0.014581635
3,0.619326093,0.607351713,0.52492342,0.544060234,0.617655249,,0.009409643,0.018297591,0.009273308,0.008786881,0.010998424
4,0.740074906,0.734082397,0.480649189,0.65075,0.728089888,,0.010382762,0.018389136,0.012131313,0.012177516,0.010740441
5,0.662148842,0.678166585,0.527353376,0.638560158,0.65377033,,0.008871152,0.016186762,0.009391025,0.007892732,0.009774451
6,0.731191023,0.712063249,0.559551135,0.649324152,0.730288339,,0.008690445,0.015885232,0.010066921,0.009087508,0.009078344
7,0.679616088,0.651051188,0.546160878,0.656521739,0.670703839,,0.009845696,0.019261544,0.010157442,0.007431241,0.011343748
8,0.685794262,0.66480056,0.565197108,0.625904317,0.667366457,,0.008865125,0.016100699,0.009682679,0.009064521,0.009155805
9,0.696173469,0.683928571,0.55255102,0.622222222,0.702985455,,0.008855201,0.01521288,0.009524731,0.008609039,0.009297627
10,0.682417846,0.687934757,0.578076277,0.60653375,0.689613816,,0.008791929,0.015817357,0.010110295,0.010459551,0.009064554
11,0.661616162,0.623604466,0.492822967,0.644603934,0.700611539,,0.009433081,0.018161051,0.010050282,0.008627853,0.0101749
12,0.666005455,0.649144557,0.542524176,0.595226256,0.657327052,,0.007498836,0.013818418,0.007928446,0.010182995,0.008240907
13,0.702900317,0.695832318,0.563977577,0.699438888,0.693395077,,0.007750175,0.013976477,0.008802376,0.01054323,0.008704111
14,0.647360328,0.624807791,0.541517171,0.622689938,0.674013326,,0.010209454,0.018910817,0.011538675,0.006037461,0.010307827
15,0.642634855,0.628630705,0.508817427,0.553622436,0.617997925,,0.009690601,0.016066638,0.009835712,0.00864945,0.010689426
16,0.661772282,0.632663575,0.523441525,0.618041237,0.668469861,,0.009848873,0.018066618,0.01114997,0.009248748,0.010400147
17,0.674001435,0.656541497,0.564219086,0.627277085,0.67447979,,0.008661741,0.017272568,0.009491773,0.008405668,0.009286417
18,0.654122308,0.65461748,0.549641,0.627757125,0.665180783,,0.008739032,0.015071611,0.009932021,0.008101091,0.009147922
19,0.720302887,0.717226692,0.557974444,0.664850782,0.730241363,,0.009621574,0.017617112,0.010097539,0.009185912,0.010047232
20,0.726700557,0.71120794,0.519244735,0.697747639,0.728637134,,0.008776858,0.015896965,0.010721939,0.008433551,0.009058135
21,0.635664336,0.634265734,0.51002331,0.57019388,0.647785548,,0.012961558,0.021228107,0.013482758,0.010122552,0.013778977
22,0.648207598,0.627875869,0.565008026,0.629291845,0.652220439,,0.010696575,0.018696909,0.011456824,0.012615964,0.01189187
23,0.699043785,0.688223452,0.588575742,0.658179985,0.684448918,,0.009313402,0.017042328,0.010161786,0.007978226,0.009917533
