,ci_rsfes,sqrt p,5/3 sqrt p,2p,3p,ibs_rsfes,sqrt p,5/3 sqrt p,2p,3p
25%,0.549863014,0.597479424,0.488960689,0.539089234,0.580403309,0.136302273,0.172011827,0.14233918,0.159724446,0.165527841
2,0.553407935,0.595490356,0.522334108,0.521301932,0.57282079,0.21540985,0.13378525,0.154880903,0.127481757,0.134857053
3,0.580203046,0.523655042,0.576112412,0.546126471,0.566614007,0.14951091,0.142503757,0.120135304,0.115265914,0.142573436
4,0.590150479,0.502066116,0.556423377,0.5353714,0.506231769,0.134365701,0.148840981,0.183050646,0.195448551,0.149588826
5,0.539016569,0.586929094,0.604051054,0.579694019,0.554486346,0.107707361,0.137205616,0.121680667,0.177918597,0.141802048
6,0.566718588,0.5889043,0.567499369,0.557673019,0.576089864,0.198362546,0.212514399,0.157043292,0.114954718,0.131498855
7,0.530391121,0.596092796,0.565205479,0.588403313,0.56541078,0.161871912,0.113667088,0.164631974,0.140007398,0.158221346
8,0.541787503,0.604995643,0.549897646,0.552334152,0.588983051,0.131638142,0.249850431,0.124165944,0.156241328,0.127153907
9,0.567092652,0.566624204,0.512306046,0.527687296,0.579045588,0.124994325,0.172485425,0.143757161,0.127726345,0.157850277
10,0.547159979,0.554918033,0.514025974,0.571257771,0.597042034,0.171075587,0.13522386,0.161807665,0.188827795,0.12607938
50%,0.585753,0.523554194,0.46051687,0.531036835,0.481981982,0.25294063,0.358328738,0.226930003,0.174686539,0.231819401
,0.606476593,0.518149466,0.449962378,0.510545165,0.434782609,0.180135622,0.18359066,0.196520426,0.270588447,0.21402341
,0.525589675,0.458450422,0.462807018,0.507617729,0.507647487,0.210930934,0.285633272,0.266457659,0.186713377,0.213982903
,0.524278007,0.477350721,0.437809053,0.536957372,0.439910979,0.191526864,0.197794209,0.214088679,0.250642409,0.209128277
,0.556729131,0.545099432,0.535171863,0.494066882,0.499836334,0.167141377,0.16833785,0.24576384,0.199151444,0.24684223
,0.563753007,0.524895477,0.52802954,0.531261842,0.526918186,0.355122628,0.250222522,0.194507057,0.208437097,0.184597739
,0.582453586,0.496326231,0.49404117,0.490632319,0.54454343,0.208453387,0.187186998,0.238475796,0.233063157,0.268093976
,0.590943114,0.515998529,0.510869565,0.454640614,0.502361061,0.224142744,0.239891811,0.189624829,0.217066532,0.181611557
,0.47436415,0.573509015,0.522393822,0.490026019,0.453493014,0.207437759,0.17446616,0.243019068,0.231519431,0.194863721
,0.484100135,0.590479937,0.544409613,0.491612903,0.467818428,0.207713682,0.248502876,0.179465946,0.212668344,0.224086226
75%,0.449451184,0.485564304,0.357739242,0.442121367,0.490073738,0.196435644,0.4830872,0.199368085,0.239145921,0.283552502
,0.456120738,0.414778325,0.354757085,0.506435006,0.471283784,0.265919507,0.177777766,0.25964009,0.186499693,0.186684672
,0.420423683,0.48126615,0.496961197,0.460148778,0.458721291,0.234665441,0.199080136,0.206344475,0.197050537,0.209364175
,0.463862559,0.465822785,0.489316239,0.422330097,0.518518519,0.198012786,0.233720148,0.361730376,0.255314039,0.196689361
,0.534143519,0.412883436,0.501850873,0.514696685,0.36494731,0.222390028,0.187408769,0.245071204,0.198707083,0.316395604
,0.465821389,0.453592029,0.46918853,0.495579823,0.378910776,0.207369422,0.238465436,0.206971775,0.222983012,0.21037168
,0.485355649,0.452772074,0.539031621,0.459383754,0.520833333,0.217148212,0.201749448,0.202778254,0.186039447,0.197803667
,0.495395948,0.442332066,0.477822581,0.504854369,0.45554942,0.199614896,0.22331451,0.222363075,0.220524206,0.235982139
,0.444820582,0.496990973,0.484659091,0.465611686,0.392193309,0.175529219,0.191877798,0.197622526,0.208917359,0.181727105
,0.461276181,0.538767396,0.511135857,0.524762908,0.422572178,0.250107367,0.24490912,0.222547201,0.192109319,0.350619984
