,ci_rsfes,ci_rsf,ci_cox,ci_gbm,ci_rotsf,,ibs_rsfes,ibs_rsf,ibs_cox,ibs_gbm,ibs_rotsf
1,0.890883978,0.866022099,0.835635359,0.843922652,0.88121547,,0.024501684,0.069633575,0.027988374,0.029814742,0.024608759
2,0.89336801,0.854356307,0.876462939,0.867360208,0.862158648,,0.022887838,0.077188434,0.021408284,0.026500693,0.023973898
3,0.769230769,0.772727273,0.751748252,0.727272727,0.777389277,,0.03082658,0.116134255,0.034390876,0.035374693,0.03362076
4,0.832432432,0.843243243,0.805405405,0.806756757,0.825675676,,0.026446993,0.088015603,0.032141982,0.022598024,0.027459967
5,0.878646441,0.862310385,0.891481914,0.84714119,0.878646441,,0.024563945,0.066963593,0.023781819,0.034553363,0.023533116
6,0.802147239,0.759202454,0.774539877,0.789877301,0.788343558,,0.025098098,0.090107153,0.02982628,0.023903839,0.026555484
7,0.872919818,0.860816944,0.859304085,0.829046899,0.833585477,,0.020784773,0.052754413,0.025867881,0.024736849,0.02178982
8,0.905006418,0.88703466,0.854942234,0.897304236,0.889602054,,0.021944005,0.075671833,0.030476662,0.027190009,0.024085276
9,0.84605087,0.831325301,0.81124498,0.791164659,0.804551539,,0.031328773,0.088389146,0.037303526,0.040788488,0.037237174
10,0.792316927,0.787515006,0.841536615,0.733493397,0.789915966,,0.036544657,0.107702614,0.036698483,0.026014671,0.039242169
11,0.756028369,0.717730496,0.740425532,0.737588652,0.780141844,,0.027050081,0.08473989,0.030477646,0.029371246,0.027267711
12,0.821325648,0.798270893,0.793948127,0.793948127,0.785302594,,0.024349193,0.062494566,0.026390589,0.036376087,0.028484663
13,0.8675,0.85625,0.845,0.835,0.8425,,0.028404357,0.07650187,0.038666329,0.032160425,0.029594809
14,0.814814815,0.812345679,0.782716049,0.745364648,0.828395062,,0.03536794,0.080639052,0.042011551,0.035265732,0.034943306
15,0.845201238,0.873065015,0.821981424,0.834365325,0.821981424,,0.022600501,0.057237613,0.024351796,0.024620175,0.025369039
16,0.831564987,0.790450928,0.840848806,0.794429708,0.843501326,,0.029299875,0.091181846,0.038929077,0.023636508,0.02670873
17,0.812135356,0.774795799,0.815635939,0.788798133,0.788798133,,0.033438349,0.08881704,0.039675675,0.029138808,0.038815859
18,0.843421053,0.819736842,0.810526316,0.832894737,0.834210526,,0.029077103,0.087028033,0.045967172,0.032929984,0.029436088
19,0.875,0.885273973,0.886986301,0.840753425,0.866438356,,0.025108675,0.06000366,0.025543372,0.025860125,0.024965523
20,0.854619565,0.855978261,0.847826087,0.832653061,0.846467391,,0.025174322,0.075377414,0.02683754,0.032479469,0.026898079
21,0.810556079,0.827521206,0.820923657,0.773798303,0.816211122,,0.028960422,0.084575868,0.027964975,0.037974638,0.027704385
22,0.86122449,0.834013605,0.848979592,0.840816327,0.907482993,,0.019871417,0.082037492,0.020386076,0.023157837,0.017280263
23,0.846883469,0.845528455,0.825203252,0.829036635,0.840108401,,0.032547715,0.075044431,0.037705777,0.029589501,0.037431339
