,ci_rsfes,ci_rsf,ci_cox,ci_gbm,ci_rotsf,,ibs_rsfes,ibs_rsf,ibs_cox,ibs_gbm,ibs_rotsf
1,0.715133531,0.771513353,0.729970326,0.712166172,0.709198813,,0.007537425,0.009004666,0.010865096,0.009482057,0.007558341
2,0.758112094,0.699115044,0.675516224,0.728613569,0.734513274,,0.00759313,0.011364168,0.009732351,0.006757812,0.008747247
3,0.719197708,0.722063037,0.730659026,0.699140401,0.730659026,,0.008359824,0.011520256,0.008518645,0.007886304,0.009106726
4,0.628834356,0.63190184,0.622699387,0.588235294,0.641104294,,0.008281873,0.010792979,0.010220541,0.014865619,0.009119548
5,0.673015873,0.619047619,0.733333333,0.682539683,0.688888889,,0.008957138,0.013322626,0.008144755,0.00944331,0.011332338
6,0.764705882,0.738562092,0.715686275,0.767213115,0.77124183,,0.009707588,0.012299072,0.014276882,0.008447194,0.010303339
7,0.766871166,0.797546012,0.699386503,0.710769231,0.760736196,,0.008693317,0.012439371,0.011265291,0.006522275,0.009365226
8,0.85620915,0.810457516,0.794117647,0.786885246,0.869281046,,0.006189797,0.006501064,0.008334979,0.006596509,0.005844513
9,0.703703704,0.712250712,0.66951567,0.692307692,0.680911681,,0.007395408,0.010579158,0.008259151,0.008603401,0.007979906
10,0.757925072,0.772334294,0.708933718,0.711815562,0.746397695,,0.007302177,0.009406984,0.010203556,0.00727684,0.007352755
11,0.83171521,0.83171521,0.766990291,0.818770227,0.838187702,,0.007252093,0.010511856,0.008663201,0.005953642,0.00821913
12,0.796296296,0.787037037,0.765432099,0.758513932,0.793209877,,0.005746554,0.007223089,0.007382324,0.007111932,0.005768689
13,0.725663717,0.699115044,0.713864307,0.719764012,0.722713864,,0.007824713,0.009041148,0.008386059,0.007832745,0.008091738
14,0.747692308,0.704615385,0.729230769,0.731481481,0.76,,0.00803915,0.011579192,0.009798587,0.007466634,0.009011174
15,0.695924765,0.692789969,0.670846395,0.60815047,0.65830721,,0.007220691,0.008286578,0.009341336,0.0089548,0.007271641
16,0.706231454,0.694362018,0.676557864,0.635014837,0.697329377,,0.00679998,0.008857772,0.007890443,0.011857059,0.007788605
17,0.722222222,0.740740741,0.694444444,0.75,0.719135802,,0.006132974,0.007398726,0.006547787,0.00876271,0.006176502
18,0.720364742,0.711246201,0.683890578,0.720364742,0.699088146,,0.006539194,0.008501546,0.007277562,0.00880421,0.006716977
19,0.722713864,0.699115044,0.693215339,0.73964497,0.737463127,,0.006097576,0.007301777,0.006358336,0.012241329,0.006159895
20,0.677018634,0.680124224,0.701863354,0.670807453,0.695652174,,0.008053893,0.009718871,0.007390692,0.013631494,0.008368027
21,0.701219512,0.716463415,0.670731707,0.692073171,0.68902439,,0.006785606,0.010605981,0.008458077,0.007691704,0.007765255
22,0.784375,0.78125,0.765625,0.75,0.8,,0.008708748,0.011272658,0.010489728,0.006889176,0.009779554
23,0.701298701,0.704545455,0.691558442,0.691558442,0.701298701,,0.007337846,0.008682642,0.009641728,0.008406997,0.007494795
24,0.675757576,0.615151515,0.642424242,0.666666667,0.636363636,,0.00721249,0.009390411,0.008587535,0.010467511,0.008522795
25,0.658959538,0.716763006,0.601156069,0.615606936,0.650289017,,0.009079497,0.010389371,0.012750206,0.01050457,0.01041645
26,0.687898089,0.691082803,0.694267516,0.646496815,0.710191083,,0.007749091,0.008834506,0.01001308,0.008652327,0.009283547
27,0.698412698,0.66031746,0.663492063,0.701587302,0.698412698,,0.009173818,0.010300006,0.011694121,0.00894313,0.009316799
28,0.698507463,0.701492537,0.647761194,0.610778443,0.686567164,,0.008659674,0.010770058,0.011770344,0.008283671,0.009812314
29,0.739520958,0.72754491,0.74251497,0.751497006,0.700598802,,0.007755353,0.00965303,0.010064477,0.007404473,0.008513838
30,0.786549708,0.807017544,0.692982456,0.754385965,0.760233918,,0.005144319,0.006637368,0.010420981,0.009053825,0.005238605
31,0.741741742,0.72972973,0.687687688,0.71686747,0.717717718,,0.007379297,0.008974071,0.0100481,0.007875654,0.007917275
32,0.780185759,0.773993808,0.730650155,0.699690402,0.755417957,,0.007406249,0.01154951,0.012379081,0.005284811,0.008166015
33,0.652298851,0.683908046,0.652298851,0.629310345,0.701149425,,0.007814081,0.009150734,0.009588252,0.007147402,0.008172052
34,0.669616519,0.669616519,0.548672566,0.566371681,0.648967552,,0.010037165,0.014556956,0.012418655,0.00908097,0.011440502
35,0.714285714,0.796352584,0.592705167,0.635258359,0.717325228,,0.00885824,0.011114458,0.013604468,0.008573826,0.009261947
36,0.679411765,0.65,0.752941176,0.714705882,0.691176471,,0.014380074,0.016022248,0.015250667,0.013049128,0.016673606
37,0.779179811,0.782334385,0.706624606,0.735015773,0.810725552,,0.006974374,0.007454388,0.008662147,0.006979014,0.005731559
38,0.739766082,0.722222222,0.710526316,0.66374269,0.716374269,,0.008331529,0.01010242,0.009292486,0.00942625,0.009050172
39,0.657817109,0.663716814,0.610619469,0.640117994,0.654867257,,0.00950033,0.013749874,0.013594391,0.007557003,0.011118008
40,0.789940828,0.769230769,0.707100592,0.73964497,0.795857988,,0.006179759,0.007013813,0.008107198,0.00697204,0.006207707
41,0.64756447,0.630372493,0.70487106,0.676217765,0.64469914,,0.00929413,0.01025943,0.009293629,0.006330288,0.009974118
42,0.71656051,0.732484076,0.729299363,0.707006369,0.742038217,,0.0066393,0.0076573,0.006590152,0.009668401,0.00626216
43,0.657142857,0.571428571,0.6,0.676217765,0.665714286,,0.008681007,0.012375383,0.009709098,0.008039266,0.009143625
44,0.688046647,0.731778426,0.690962099,0.682215743,0.647230321,,0.008082193,0.010683484,0.008991876,0.008303696,0.009260034
45,0.696864111,0.74912892,0.675958188,0.679442509,0.700348432,,0.006123312,0.006930965,0.008021808,0.011299208,0.00624286
46,0.763848397,0.766763848,0.673469388,0.730994152,0.758017493,,0.007756139,0.008641141,0.01029971,0.00634405,0.008261173
47,0.735202492,0.728971963,0.669781931,0.68847352,0.68847352,,0.007271532,0.009175972,0.007431961,0.009566645,0.008300848
48,0.80126183,0.782334385,0.845425868,0.800632911,0.791798107,,0.005783438,0.008611123,0.005611021,0.0091499,0.006140957
49,0.721068249,0.724035608,0.697329377,0.732142857,0.732937685,,0.013956082,0.016371155,0.015473462,0.012804076,0.014076027
50,0.68914956,0.68914956,0.656891496,0.662756598,0.671554252,,0.015420205,0.018657931,0.018381373,0.021999304,0.018377116
51,0.714285714,0.66180758,0.705539359,0.699708455,0.690962099,,0.008517774,0.011541803,0.009336086,0.007899932,0.009977452
52,0.650887574,0.609467456,0.538461538,0.602373887,0.630177515,,0.007223457,0.01064776,0.006926409,0.011589426,0.008346296
53,0.643874644,0.672364672,0.638176638,0.635327635,0.635327635,,0.008854976,0.011887906,0.01180014,0.008858958,0.01021921
54,0.725856698,0.735202492,0.710280374,0.753894081,0.728971963,,0.007908964,0.010010527,0.008082603,0.00752693,0.008673969
55,0.715099715,0.709401709,0.703703704,0.700854701,0.703703704,,0.006604347,0.009567739,0.009460919,0.007221023,0.007937022
56,0.712538226,0.681957187,0.688073394,0.721712538,0.669724771,,0.008415073,0.010364319,0.010281712,0.007680754,0.009743271
57,0.760736196,0.708588957,0.717791411,0.742331288,0.760736196,,0.006572559,0.008931147,0.007065546,0.006502848,0.00715283
58,0.768292683,0.698170732,0.698170732,0.771341463,0.75,,0.006995127,0.009801754,0.009371825,0.007131556,0.007184311
59,0.782089552,0.734328358,0.773134328,0.817910448,0.805970149,,0.008420592,0.010186075,0.011283196,0.008284081,0.008546709
60,0.717770035,0.707317073,0.682926829,0.667832168,0.717770035,,0.007571283,0.010307904,0.008374737,0.013601761,0.009214112
61,0.634782609,0.672463768,0.594202899,0.601744186,0.666666667,,0.007160031,0.009438295,0.008726849,0.010198452,0.007356144
62,0.572700297,0.590504451,0.59347181,0.604166667,0.608308605,,0.00992104,0.012550214,0.010823824,0.007693628,0.010795238
63,0.743589744,0.726495726,0.666666667,0.698005698,0.746438746,,0.010251894,0.013766237,0.013113807,0.007419607,0.01148629
